track,model,seed,roc_auc,train_seconds,fold,region_id
A,PlainMLP,42,0.9614495274045876,257.0084590911865,,
A,PINN,42,0.9612010813027984,429.82497930526733,,
A,PlainMLP,123,0.9613414560392781,261.47888922691345,,
A,PINN,123,0.9614165271294888,419.55199694633484,,
A,PlainMLP,456,0.9613962799096059,248.8238079547882,,
A,PINN,456,0.9614405486954979,417.6439833641052,,
A,PlainMLP,789,0.9614469322174818,253.38799333572388,,
A,PINN,789,0.9613684098190199,428.16206097602844,,
A,PlainMLP,2024,0.9613723590126522,261.7159996032715,,
A,PINN,2024,0.9613996466192132,413.2286193370819,,
B1,PlainMLP,42,0.9445310625948093,68.03560066223145,0.0,
B1,PINN,42,0.9432265265280402,103.23903155326843,0.0,
B1,PlainMLP,42,0.9556308467402738,66.26118993759155,1.0,
B1,PINN,42,0.9554184961527659,103.34574174880981,1.0,
B1,PlainMLP,42,0.9493981284191086,67.92074632644653,2.0,
B1,PINN,42,0.9485123421183986,103.22350668907166,2.0,
B1,PlainMLP,123,0.9442709466897947,66.79275846481323,0.0,
B1,PINN,123,0.9436721154208505,103.65453004837036,0.0,
B1,PlainMLP,123,0.9554930739010575,67.24483442306519,1.0,
B1,PINN,123,0.955735198457803,103.88165640830994,1.0,
B1,PlainMLP,123,0.94873836379382,66.57526874542236,2.0,
B1,PINN,123,0.949577487382337,103.04852437973022,2.0,
B1,PlainMLP,456,0.9437715215030588,67.0585310459137,0.0,
B1,PINN,456,0.943947922258618,104.0602970123291,0.0,
B1,PlainMLP,456,0.955054529009436,67.37420225143433,1.0,
B1,PINN,456,0.9557634077905421,103.74223637580872,1.0,
B1,PlainMLP,456,0.9496694326229906,68.15991973876953,2.0,
B1,PINN,456,0.9497563860762062,103.54997372627258,2.0,
B1,PlainMLP,789,0.9425180920528344,67.47639775276184,0.0,
B1,PINN,789,0.9431067179165284,102.44797968864441,0.0,
B1,PlainMLP,789,0.9556680725296841,67.21717929840088,1.0,
B1,PINN,789,0.9561437971922752,102.6110942363739,1.0,
B1,PlainMLP,789,0.9491863139229705,66.65235757827759,2.0,
B1,PINN,789,0.9500738862679825,101.86761665344238,2.0,
B1,PlainMLP,2024,0.9430385897089908,65.87075924873352,0.0,
B1,PINN,2024,0.9437472246777832,104.28989338874817,0.0,
B1,PlainMLP,2024,0.9554535786210109,66.94222235679626,1.0,
B1,PINN,2024,0.9554136984568657,102.23173308372498,1.0,
B1,PlainMLP,2024,0.949351121042388,67.1606023311615,2.0,
B1,PINN,2024,0.9495157139907632,103.75480318069458,2.0,
B2,PlainMLP,42,0.7466127132489837,100.39163422584534,,0.0
B2,PINN,42,0.7680848436490748,163.53981351852417,,0.0
B2,PlainMLP,42,0.9447248257839385,78.31175208091736,,1.0
B2,PINN,42,0.9406400344266378,119.18429803848267,,1.0
B2,PlainMLP,42,0.8535348643539793,87.83496809005737,,2.0
B2,PINN,42,0.8605177968566937,137.48942494392395,,2.0
B2,PlainMLP,42,0.9347000659287137,80.91634917259216,,3.0
B2,PINN,42,0.9325815573590656,126.53224110603333,,3.0
B2,PlainMLP,42,0.9089262814575101,84.7604308128357,,4.0
B2,PINN,42,0.9087615883675988,133.788827419281,,4.0
B2,PlainMLP,42,0.9568357842281441,63.972376585006714,,5.0
B2,PINN,42,0.9570680652634938,100.11136531829834,,5.0
B2,PlainMLP,123,0.7547133249743531,99.9994900226593,,0.0
B2,PINN,123,0.7644638854059804,164.55823397636414,,0.0
B2,PlainMLP,123,0.93901214834557,78.2256829738617,,1.0
B2,PINN,123,0.9424858539846179,121.075599193573,,1.0
B2,PlainMLP,123,0.8608186098268227,90.41911602020264,,2.0
B2,PINN,123,0.863652386041949,140.3538303375244,,2.0
B2,PlainMLP,123,0.9307613377592817,83.03182411193848,,3.0
B2,PINN,123,0.9337959874768033,126.03688287734985,,3.0
B2,PlainMLP,123,0.9082904820437236,86.885413646698,,4.0
B2,PINN,123,0.9095197603670971,133.8378140926361,,4.0
B2,PlainMLP,123,0.9563961159212392,64.89466333389282,,5.0
B2,PINN,123,0.9569964099709721,100.8042540550232,,5.0
B2,PlainMLP,456,0.7474438618488544,99.02838325500488,,0.0
B2,PINN,456,0.7054285877122992,162.494549036026,,0.0
B2,PlainMLP,456,0.9453952974570683,77.84905362129211,,1.0
B2,PINN,456,0.9335711268978297,119.66525459289551,,1.0
B2,PlainMLP,456,0.8470079616105611,89.77660298347473,,2.0
B2,PINN,456,0.8688318772016498,137.49622178077698,,2.0
B2,PlainMLP,456,0.9330666106093808,80.67166757583618,,3.0
B2,PINN,456,0.9315809372895759,125.78396344184875,,3.0
B2,PlainMLP,456,0.9074688397746364,85.99776411056519,,4.0
B2,PINN,456,0.9074070780224476,132.39315724372864,,4.0
B2,PlainMLP,456,0.9561090334330786,66.75434565544128,,5.0
B2,PINN,456,0.9556978699414345,103.19362473487854,,5.0
