tag,track,config,seed,forest_auc,forest_ap,forest_n,forest_prev
A_nophys_s42,A,nophys,42,0.9078016667102066,0.9490056826154906,2905,0.6523235800344234
A_nophys_s43,A,nophys,43,0.9128028422895059,0.9524238469465385,2905,0.6523235800344234
A_nophys_s44,A,nophys,44,0.907920008359675,0.9503837774980314,2905,0.6523235800344234
A_diff_s42,A,diff,42,0.8870362339664045,0.937253528443133,2905,0.6523235800344234
A_diff_s43,A,diff,43,0.8933088638679172,0.9410661923648037,2905,0.6523235800344234
A_diff_s44,A,diff,44,0.8832874422006844,0.935708836384578,2905,0.6523235800344234
A_diffadv_s42,A,diffadv,42,0.8983552339402807,0.9422765324850247,2905,0.6523235800344234
A_diffadv_s43,A,diffadv,43,0.9014214059928419,0.9452630679873106,2905,0.6523235800344234
A_diffadv_s44,A,diffadv,44,0.8976300321325008,0.9433372102683906,2905,0.6523235800344234
A_full_s42,A,full,42,0.9018002037670786,0.9449691585343238,2905,0.6523235800344234
A_full_s43,A,full,43,0.8981781133258444,0.9413035098422335,2905,0.6523235800344234
A_full_s44,A,full,44,0.8923812011808041,0.9400128647814234,2905,0.6523235800344234
B1_f0_nophys_s42,B1,nophys,42,0.7210216491162311,0.8421201452187448,4310,0.671461716937355
B1_f1_nophys_s42,B1,nophys,42,0.6947323468451992,0.7092636965849081,4921,0.5267222109327373
B1_f2_nophys_s42,B1,nophys,42,0.6883353704548842,0.829833357014099,5110,0.7158512720156556
B1_f0_nophys_s43,B1,nophys,43,0.7195761540533893,0.8412821743894566,4310,0.671461716937355
B1_f1_nophys_s43,B1,nophys,43,0.708256967966965,0.7121600590299042,4921,0.5267222109327373
B1_f2_nophys_s43,B1,nophys,43,0.6921568561001435,0.8324668086314725,5110,0.7158512720156556
B1_f0_nophys_s44,B1,nophys,44,0.7157399246053593,0.8278383245616641,4310,0.671461716937355
B1_f1_nophys_s44,B1,nophys,44,0.7114816239418178,0.7262194754964544,4921,0.5267222109327373
B1_f2_nophys_s44,B1,nophys,44,0.6630297833948612,0.8079694219159036,5110,0.7158512720156556
B1_f0_diff_s42,B1,diff,42,0.7199140096986167,0.8443823764295887,4310,0.671461716937355
B1_f1_diff_s42,B1,diff,42,0.6616256414028168,0.6897639731246409,4921,0.5267222109327373
B1_f2_diff_s42,B1,diff,42,0.5776043525869561,0.7840156069380655,5110,0.7158512720156556
B1_f0_diff_s43,B1,diff,43,0.6825336806328308,0.8160826126093339,4310,0.671461716937355
B1_f1_diff_s43,B1,diff,43,0.6750837534256741,0.7025707569861139,4921,0.5267222109327373
B1_f2_diff_s43,B1,diff,43,0.5544913070262243,0.7682050924669406,5110,0.7158512720156556
B1_f0_diff_s44,B1,diff,44,0.6921666539772527,0.8197363674279883,4310,0.671461716937355
B1_f1_diff_s44,B1,diff,44,0.658383426363246,0.6873235829634159,4921,0.5267222109327373
B1_f2_diff_s44,B1,diff,44,0.5522451075193509,0.7612410398450545,5110,0.7158512720156556
B1_f0_diffadv_s42,B1,diffadv,42,0.7144326709459274,0.8306643116598627,4310,0.671461716937355
B1_f1_diffadv_s42,B1,diffadv,42,0.6936616580262817,0.7165357140648776,4921,0.5267222109327373
B1_f2_diffadv_s42,B1,diffadv,42,0.6860474683210653,0.8306567817106029,5110,0.7158512720156556
B1_f0_diffadv_s43,B1,diffadv,43,0.732005679000777,0.8354751705024905,4310,0.671461716937355
B1_f1_diffadv_s43,B1,diffadv,43,0.7174618935165307,0.7540686475059621,4921,0.5267222109327373
B1_f2_diffadv_s43,B1,diffadv,43,0.6562617200384983,0.8069990246371128,5110,0.7158512720156556
B1_f0_diffadv_s44,B1,diffadv,44,0.7463266587016193,0.8435434766140814,4310,0.671461716937355
B1_f1_diffadv_s44,B1,diffadv,44,0.6973053296068359,0.7200710474281498,4921,0.5267222109327373
B1_f2_diffadv_s44,B1,diffadv,44,0.6926025941104971,0.8389579098994523,5110,0.7158512720156556
B1_f0_full_s42,B1,full,42,0.717460682339069,0.8254156652181196,4310,0.671461716937355
B1_f1_full_s42,B1,full,42,0.6891667859357855,0.7221280263472689,4921,0.5267222109327373
B1_f2_full_s42,B1,full,42,0.6859777129112086,0.8337662495831141,5110,0.7158512720156556
B1_f0_full_s43,B1,full,43,0.7209784563035152,0.8355041093706583,4310,0.671461716937355
B1_f1_full_s43,B1,full,43,0.6978822939692233,0.7106399198155958,4921,0.5267222109327373
B1_f2_full_s43,B1,full,43,0.680607581857644,0.8285974264360381,5110,0.7158512720156556
B1_f0_full_s44,B1,full,44,0.7179731394390889,0.8295173425796709,4310,0.671461716937355
B1_f1_full_s44,B1,full,44,0.7132616327147241,0.7404722719638179,4921,0.5267222109327373
B1_f2_full_s44,B1,full,44,0.68721918976032,0.8213788890660052,5110,0.7158512720156556
B2_r0_nophys_s42,B2,nophys,42,0.5297415441126269,0.4472189370105937,2246,0.3668744434550312
B2_r1_nophys_s42,B2,nophys,42,0.6014482525850695,0.8155682732589308,3287,0.7627015515667782
B2_r2_nophys_s42,B2,nophys,42,0.49662880970526097,0.6390430811162339,1866,0.635048231511254
B2_r3_nophys_s42,B2,nophys,42,0.76241230017762,0.8927232541304678,2163,0.7397133610725843
B2_r4_nophys_s42,B2,nophys,42,0.8222621042821328,0.8116024063326992,2011,0.5082048731974143
B2_r5_nophys_s42,B2,nophys,42,0.5758662333210343,0.7711833623665815,2768,0.7247109826589595
B2_r0_nophys_s43,B2,nophys,43,0.5643297761937924,0.45827183222507467,2246,0.3668744434550312
B2_r1_nophys_s43,B2,nophys,43,0.6579029998056722,0.8433607251719655,3287,0.7627015515667782
B2_r2_nophys_s43,B2,nophys,43,0.48187760615129155,0.6365036746625947,1866,0.635048231511254
B2_r3_nophys_s43,B2,nophys,43,0.7552630994671403,0.8818583154750266,2163,0.7397133610725843
B2_r4_nophys_s43,B2,nophys,43,0.8956031018305074,0.8547457874054498,2011,0.5082048731974143
B2_r5_nophys_s43,B2,nophys,43,0.5637176397317234,0.7761937731623445,2768,0.7247109826589595
B2_r0_nophys_s44,B2,nophys,44,0.5033160426310543,0.4153759244570103,2246,0.3668744434550312
B2_r1_nophys_s44,B2,nophys,44,0.601830259887699,0.8123725943020944,3287,0.7627015515667782
B2_r2_nophys_s44,B2,nophys,44,0.4659206800622069,0.6203637061977202,1866,0.635048231511254
B2_r3_nophys_s44,B2,nophys,44,0.7426376554174068,0.87305111097417,2163,0.7397133610725843
B2_r4_nophys_s44,B2,nophys,44,0.846532998007436,0.8206895011376445,2011,0.5082048731974143
B2_r5_nophys_s44,B2,nophys,44,0.5588631088362209,0.766694229568416,2768,0.7247109826589595
B2_r0_full_s42,B2,full,42,0.5067592478800541,0.45132462277542823,2246,0.3668744434550312
B2_r1_full_s42,B2,full,42,0.6692233540957115,0.8465911141055757,3287,0.7627015515667782
B2_r2_full_s42,B2,full,42,0.41654491719176934,0.5847396457362323,1866,0.635048231511254
B2_r3_full_s42,B2,full,42,0.6744849023090584,0.8396997072454839,2163,0.7397133610725843
B2_r4_full_s42,B2,full,42,0.5824242796000625,0.6230393223509527,2011,0.5082048731974143
B2_r5_full_s42,B2,full,42,0.6145677141802938,0.7869725580977835,2768,0.7247109826589595
B2_r0_full_s43,B2,full,43,0.5052721280024033,0.40986641912101096,2246,0.3668744434550312
B2_r1_full_s43,B2,full,43,0.6384733003999059,0.8332533483792186,3287,0.7627015515667782
B2_r2_full_s43,B2,full,43,0.4549142796954095,0.603238865753155,1866,0.635048231511254
B2_r3_full_s43,B2,full,43,0.6994404973357016,0.8085276961592259,2163,0.7397133610725843
B2_r4_full_s43,B2,full,43,0.5039010326903175,0.5589685585805607,2011,0.5082048731974143
B2_r5_full_s43,B2,full,43,0.6062239789816901,0.7995929090888125,2768,0.7247109826589595
B2_r0_full_s44,B2,full,44,0.449984552728961,0.34858500488554167,2246,0.3668744434550312
B2_r1_full_s44,B2,full,44,0.6755748008141307,0.8470299672773465,3287,0.7627015515667782
B2_r2_full_s44,B2,full,44,0.47423310222618764,0.6176596981475371,1866,0.635048231511254
B2_r3_full_s44,B2,full,44,0.6863809946714031,0.8175270406907809,2163,0.7397133610725843
B2_r4_full_s44,B2,full,44,0.4855079059478134,0.5642450151430092,2011,0.5082048731974143
B2_r5_full_s44,B2,full,44,0.5968897768636349,0.7757564800603098,2768,0.7247109826589595
