track,config,n_runs,seeds,auc_mean,auc_sd_across_seeds,auc_min,auc_max,auc_sd_across_folds_seed42,ap_mean,prevalence,train_time_mean_sec,best_epoch_mean,c_adv_mean
A,nophys,3,"[42, 43, 44]",0.9449933418841526,0.001781334342095778,0.9433378322057883,0.9468782711729699,,0.9309893598653715,0.42058563232421875,95.33646670977275,38.333333333333336,0.6931471824645996
A,diff,3,"[42, 43, 44]",0.9242239848863733,0.004564584899463789,0.9189819302020535,0.9273204933736534,,0.9108027746623755,0.42058563232421875,153.2103969256083,5.0,0.6931471824645996
A,diffadv,3,"[42, 43, 44]",0.9394494104350147,0.0012806993468617292,0.9386237084924495,0.9409247363676895,,0.921541586275597,0.42058563232421875,413.7765494982402,41.666666666666664,0.5282729466756185
A,full,3,"[42, 43, 44]",0.938760310252583,0.0015907231623273357,0.9369366313218446,0.9398620090009758,,0.9203865947067101,0.42058563232421875,222.3894865512848,40.0,0.5435697635014852
B1,nophys,9,"[42, 43, 44]",0.7235393048994938,0.010272190484884371,0.6982794703651997,0.7403983963053488,0.007703720035274354,0.6424948785215258,0.4075971047083537,78.1686962445577,33.333333333333336,0.6931471824645996
B1,diff,9,"[42, 43, 44]",0.6421152214632656,0.012709826284831803,0.5515615886760685,0.7346086352143033,0.06706518995342958,0.584251319525689,0.4075971047083537,132.56820323732165,10.555555555555555,0.6931471824645996
B1,diffadv,9,"[42, 43, 44]",0.7298378805447024,0.003985660635090525,0.6777430854796249,0.7649703305712494,0.0014738524251824252,0.6371027469672922,0.4075971047083537,280.9528681702084,52.77777777777778,0.5015645457638634
B1,full,9,"[42, 43, 44]",0.7184702176101783,0.007170332663553689,0.6908492392026109,0.7372034210835732,0.00912879748530391,0.6191671092113985,0.4075971047083537,229.37256911065845,39.44444444444444,0.555545429388682
B2,nophys,18,"[42, 43, 44]",0.6143728796530726,0.020937006130556237,0.4362423993358534,0.8063839412447593,0.12083404270030519,0.523658680971792,0.4259303957223892,54.27204277780321,15.833333333333334,0.6931471824645996
B2,full,18,"[42, 43, 44]",0.570084248127895,0.007108319819653632,0.37852326813406534,0.7466916354556803,0.10057035529563883,0.48886887470900825,0.4259303957223892,197.62537835703955,31.11111111111111,0.5867508318689134
B3,nophys,3,"[42, 43, 44]",0.904355219547046,0.0007136228453966144,0.903668966325184,0.905093377741632,,0.15410093000614228,0.0246382188051939,142.50587344169617,78.33333333333333,0.6931471824645996
B3,diff,3,"[42, 43, 44]",0.8855229412476197,0.0064146620171451245,0.879161716048418,0.891989736932197,,0.13612943072135603,0.0246382188051939,150.84832294782004,20.0,0.6931471824645996
B3,diffadv,3,"[42, 43, 44]",0.894125131701772,0.001030153323176415,0.8929415890987706,0.8948200342275061,,0.14150912132473706,0.0246382188051939,372.8456023534139,70.0,0.46219249566396076
B3,full,3,"[42, 43, 44]",0.8934330289299948,0.003114071314902591,0.8898373466601512,0.8952581081824844,,0.14095947805054085,0.0246382188051939,342.6938530604045,66.66666666666667,0.49458807706832886
B3orig,nophys,3,"[42, 43, 44]",0.9044733553944199,0.0008133975109813094,0.9035631536712847,0.9051291179819642,,0.1546213397756018,0.0246382188051939,145.32275342941284,80.0,0.6931471824645996
B3orig,full,3,"[42, 43, 44]",0.8940617614989251,0.004291675620559296,0.8891171912155551,0.8968202251980062,,0.142115465471158,0.0246382188051939,311.3872340520223,61.666666666666664,0.5152793526649475
