tag,config,seed,test_auc,test_ap,val_auc,val_ap,best_epoch,epochs_run,train_time_sec,peak_gpu_mem_mb,pos_weight,n_test,test_prevalence,c_adv,w_ndvi_anom,checkpoint,checkpoint_sha256,fold,n_test_blocks,region,centroid,test_years,val_years,track
A_nophys_s42,nophys,42,0.9447639222736994,0.9290896001016082,0.9428044716977149,0.9212089628046689,40,60,103.51467204093933,2680.2176,42.88960573406379,4508,0.42058563232421875,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_nophys_s42.pt,87db18a70181ba917623076cf627befa783b6567052c7a9dd69fdac5f7ceb2c8,,,,,,,A
A_nophys_s43,nophys,43,0.9468782711729699,0.9342008117356139,0.943530110649475,0.9210846512254758,40,60,97.19235253334045,2680.152064,42.88960573406379,4508,0.42058563232421875,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_nophys_s43.pt,0c8177c5cbe4df972c06fe277dba6578dd8c5028bd96737322730d4c1199d078,,,,,,,A
A_nophys_s44,nophys,44,0.9433378322057883,0.929677667758892,0.9396527561904082,0.9153825292132626,35,55,85.30237555503845,2680.152064,42.88960573406379,4508,0.42058563232421875,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_nophys_s44.pt,cc7e37a93c42aced14d143bc11de86af8ddd77b753933bcf1938e7e13e74a06f,,,,,,,A
A_diff_s42,diff,42,0.9263695310834125,0.9120553008196906,0.9161846060437517,0.8846110324837237,5,25,134.00547695159912,3006.402048,42.88960573406379,4508,0.42058563232421875,0.6931471824645996,0.6955433487892151,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_diff_s42.pt,3e368f8ba1e1e75e5ea7ebf47df5c9029d5759910fbf93d7b85124057046719f,,,,,,,A
A_diff_s43,diff,43,0.9273204933736534,0.9146887539392047,0.9165335024246205,0.8911014570880071,5,25,190.81641793251038,3006.402048,42.88960573406379,4508,0.42058563232421875,0.6931471824645996,0.697237491607666,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_diff_s43.pt,53c0a13a17d0a2ee51a39dacd38f3fdbc6ab533297c75bc012384e2a7215bad5,,,,,,,A
A_diff_s44,diff,44,0.9189819302020535,0.9056642692282312,0.9105014352617942,0.880397452346834,5,25,134.80929589271545,3006.402048,42.88960573406379,4508,0.42058563232421875,0.6931471824645996,0.6976955533027649,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_diff_s44.pt,25238ac9a49b99f55553a0994cc84c6c2e7102b10338f857b90376c58d5c8dbc,,,,,,,A
A_diffadv_s42,diffadv,42,0.9387997864449055,0.9197965844057779,0.9300867709121248,0.9037261525936869,30,50,261.26002168655396,3068.671488,42.88960573406379,4508,0.42058563232421875,0.568650484085083,0.6891034841537476,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_diffadv_s42.pt,c7116def62f26b2d43d8d54f11b663f41fd424cff9918e862358d197f34b3944,,,,,,,A
A_diffadv_s43,diffadv,43,0.9409247363676895,0.9243532185157535,0.9346491780459911,0.9071924205057228,40,60,442.398149728775,3068.671488,42.88960573406379,4508,0.42058563232421875,0.5273774862289429,0.657301127910614,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_diffadv_s43.pt,12ff0c5f6ff2d8c5069d249e5ee565010796635ecccf01afc89c50bfcf6cc0a5,,,,,,,A
A_diffadv_s44,diffadv,44,0.9386237084924495,0.92047495590526,0.9327068607916181,0.9066806670426165,55,75,537.6714770793915,3068.671488,42.88960573406379,4508,0.42058563232421875,0.4887908697128296,0.6670421957969666,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_diffadv_s44.pt,9e8868c14f51d0c672f9996d9b5c5a9250f88ed4c5b8098e8c16d5bbb2ae24b3,,,,,,,A
A_full_s42,full,42,0.9398620090009758,0.9232822513258702,0.9342731634800676,0.9087354689816272,30,50,185.6096270084381,3315.887616,42.88960573406379,4508,0.42058563232421875,0.5707522630691528,0.6662616729736328,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_full_s42.pt,9cba47d185ee25ae3d290ee98d62ee7cd73be4227eed4e97aa106bb6b15bb781,,,,,,,A
A_full_s43,full,43,0.9394822904349286,0.9196738667484374,0.9339382811948311,0.9082424575639175,35,55,200.00955605506897,3315.887616,42.88960573406379,4508,0.42058563232421875,0.5418701171875,0.6752883195877075,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_full_s43.pt,42715422fbb9b23d9051fd4633be9791f87d4a31bfc7ee54bcadff16f2cbf37e,,,,,,,A
A_full_s44,full,44,0.9369366313218446,0.9182036660458225,0.9279566283760322,0.8985301280937733,55,75,281.5492765903473,3315.887616,42.88960573406379,4508,0.42058563232421875,0.5180869102478027,0.6522495150566101,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_A_full_s44.pt,3c6d3e43dc4864527b068cc3e5ce375145d681109deffce22f1c49b9292d394e,,,,,,,A
B1_f0_nophys_s42,nophys,42,0.7258430816879411,0.676587970647903,0.6812418246812249,0.5571597314215021,20,40,63.84309411048889,2680.82432,40.53464412188344,7196,0.4031406342983246,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_nophys_s42.pt,1cdeb5cfd5b13121e06eda5539c296c61764f0579fed747e0f8771fdc039c0d5,0.0,41.0,,,,,B1
B1_f1_nophys_s42,nophys,42,0.7186188802230125,0.558299708265886,0.7544614642032352,0.6376921532549538,5,25,38.6850962638855,2680.598528,37.16545596684082,7857,0.33053329586982727,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_nophys_s42.pt,12cb4b93a79cb1f4391f43899f2691e71aeccf9771f61eef6f938f3c38bce1b4,1.0,41.0,,,,,B1
B1_f2_nophys_s42,nophys,42,0.7373280351586677,0.7085419190346358,0.6169254185692542,0.23534593499896062,80,80,124.664541721344,2680.82432,40.4504851799345,7489,0.4891173839569092,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_nophys_s42.pt,12fffd9d06713e9323f31f01e2a902134b49bfa12b49a8333cda9d50c3d4cb66,2.0,41.0,,,,,B1
B1_f0_nophys_s43,nophys,43,0.7242279668325201,0.6804829277935869,0.6959723761595222,0.5611764259761476,10,30,46.120959997177124,2680.82432,40.53464412188344,7196,0.4031406342983246,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_nophys_s43.pt,66bcc39dcd593a1f94b89b261f736de8c0a3004890b640d3c7e159a49f6eb341,0.0,41.0,,,,,B1
B1_f1_nophys_s43,nophys,43,0.7296638341110172,0.5718931064729031,0.7701262796020637,0.6653721119766971,5,25,37.14377784729004,2680.598528,37.16545596684082,7857,0.33053329586982727,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_nophys_s43.pt,e85b0b72ef3237b605d7b136ce2a6cec2d54c7b26cca04fd4b530b3eb58de67e,1.0,41.0,,,,,B1
B1_f2_nophys_s43,nophys,43,0.7403983963053488,0.7190626520320399,0.6683149416539828,0.25744381672711025,80,80,139.26245284080505,2680.82432,40.4504851799345,7489,0.4891173839569092,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_nophys_s43.pt,981730e6defa98c06aa65e9698f27e48f5653f97dec6283d35e14c9e72866a1f,2.0,41.0,,,,,B1
B1_f0_nophys_s44,nophys,44,0.7107810762536624,0.6340577548585862,0.670108101428871,0.5124117600845399,15,35,56.227365493774414,2680.82432,40.53464412188344,7196,0.4031406342983246,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_nophys_s44.pt,ec416446a8ee9eb79466c4b54a46300d12adedd8efee5c98866e3d569ab65413,0.0,41.0,,,,,B1
B1_f1_nophys_s44,nophys,44,0.7267130031580751,0.5704050200615406,0.7616520115688906,0.6770662982489766,5,25,40.85358262062073,2680.598528,37.16545596684082,7857,0.33053329586982727,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_nophys_s44.pt,1b71e0aaf6a560ab396c99c827ced0c8e32a886876e28071742f24e3f1517de7,1.0,41.0,,,,,B1
B1_f2_nophys_s44,nophys,44,0.6982794703651997,0.6631228475266507,0.5600665905631659,0.2078635985407484,80,80,156.71739530563354,2680.82432,40.4504851799345,7489,0.4891173839569092,0.6931471824645996,0.6931471824645996,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_nophys_s44.pt,cb344a202b9261b9685575589e3b1f8b8576d58220d900422a207a079558bcdc,2.0,41.0,,,,,B1
B1_f0_diff_s42,diff,42,0.7346086352143033,0.6990840956989133,0.677688057294631,0.5640451682358827,5,25,109.43243432044983,3006.025728,40.53464412188344,7196,0.4031406342983246,0.6931471824645996,0.6958402395248413,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_diff_s42.pt,756b65dd0af6eadb316562dc2c1e408ad0d2903bf5c4b108b7f250a809933b81,0.0,41.0,,,,,B1
B1_f1_diff_s42,diff,42,0.6569256937296765,0.525615288843903,0.7115539567052367,0.6120408293468265,5,25,105.34911441802979,3005.799936,37.16545596684082,7857,0.33053329586982727,0.6931471824645996,0.6950712203979492,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_diff_s42.pt,6afd50b7e0ae1b14c5b4e43a1e51b128c2675dc3e445f01a7c3489a79c881baf,1.0,41.0,,,,,B1
B1_f2_diff_s42,diff,42,0.5704122717975306,0.5777206201082112,0.6586707255200406,0.2955612076681433,35,55,260.0204758644104,3006.025728,40.4504851799345,7489,0.4891173839569092,0.6931471824645996,0.6959165334701538,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_diff_s42.pt,587926fe5f862551d8e54e380603cccc3b826032bb93c8917beee8f789a16db0,2.0,41.0,,,,,B1
B1_f0_diff_s43,diff,43,0.6716134976538539,0.6145480838574428,0.6358581962875316,0.5508577305357514,5,25,108.68213725090027,3006.025728,40.53464412188344,7196,0.4031406342983246,0.6931471824645996,0.6973242163658142,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_diff_s43.pt,5bd2ee596fafa04189a865d68120a903a3711b70777fff5b8911e43187590fa7,0.0,41.0,,,,,B1
B1_f1_diff_s43,diff,43,0.6835720800982708,0.5517865093898994,0.732212873407598,0.6500251454764403,5,25,102.85485410690308,3005.799936,37.16545596684082,7857,0.33053329586982727,0.6931471824645996,0.6965224742889404,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_diff_s43.pt,e8fe986496f5d5be477bd369b06d447464c24934a19cc929d14883eb91b57678,1.0,41.0,,,,,B1
B1_f2_diff_s43,diff,43,0.5757936808642506,0.5900509864354033,0.6552289446981229,0.28857951451355685,20,40,166.77906441688538,3006.025728,40.4504851799345,7489,0.4891173839569092,0.6931471824645996,0.6975399255752563,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_diff_s43.pt,7b4ea112d0bae83d892d05b333955a7beb23136bcb8ed325e6a8efb7e2397ed3,2.0,41.0,,,,,B1
B1_f0_diff_s44,diff,44,0.6839930753274834,0.630508169189259,0.6598240496659976,0.5710160567630942,5,25,110.71431398391724,3006.025728,40.53464412188344,7196,0.4031406342983246,0.6931471824645996,0.6970685124397278,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_diff_s44.pt,b616ab32d5935e979cd9e25d0059bb49a1ae3b7744846caa14c9688eb1bd5bdf,0.0,41.0,,,,,B1
B1_f1_diff_s44,diff,44,0.6505564698079533,0.5103788438186658,0.7366064073921772,0.6672904396310494,5,25,106.7128643989563,3005.799936,37.16545596684082,7857,0.33053329586982727,0.6931471824645996,0.6974913477897644,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_diff_s44.pt,8d8572dbe1e87a10ccbfcb97a90506c0c30ed98b21bff04f5f2df39929ef0b37,1.0,41.0,,,,,B1
B1_f2_diff_s44,diff,44,0.5515615886760685,0.5585692783895035,0.5928735413495688,0.24209715705987148,10,30,122.5685703754425,3006.025728,40.4504851799345,7489,0.4891173839569092,0.6931471824645996,0.6988810896873474,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_diff_s44.pt,6c3d36ab4fbe0d229a86cf14705dcaede7e7e3a7caccdcf936223af66526d2b0,2.0,41.0,,,,,B1
B1_f0_diffadv_s42,diffadv,42,0.7303179947984698,0.6397886060461975,0.645187108708025,0.4595108779811078,65,80,357.3294723033905,3068.295168,40.53464412188344,7196,0.4031406342983246,0.5461283922195435,0.6977869272232056,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_diffadv_s42.pt,7c722534a3d1fc6ee0dbd0b003b1408ff6dde7e0d048a3c17abbd1795574fab0,0.0,41.0,,,,,B1
B1_f1_diffadv_s42,diffadv,42,0.7275818032213245,0.572424731576225,0.7528527482533911,0.6610941407370243,20,40,180.35010814666748,3068.069376,37.16545596684082,7857,0.33053329586982727,0.6178569793701172,0.6968291401863098,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_diffadv_s42.pt,5c3acd5e779ec2951b87c00706a85c213cc95603705ca051971f422535f2dd56,1.0,41.0,,,,,B1
B1_f2_diffadv_s42,diffadv,42,0.726910284803646,0.6945277992760185,0.5371093353627601,0.2020539751827985,70,80,355.94062781333923,3068.295168,40.4504851799345,7489,0.4891173839569092,0.5033133625984192,0.6768202781677246,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_diffadv_s42.pt,bcedd61939ee2416fb21abec73cabaf6217a04b78a9a5a8620d4f2743da7b12f,2.0,41.0,,,,,B1
B1_f0_diffadv_s43,diffadv,43,0.749396679479879,0.6646456640384396,0.7119498197685449,0.5574340671689052,60,80,332.43876695632935,3068.295168,40.53464412188344,7196,0.4031406342983246,0.43328437209129333,0.6974036693572998,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_diffadv_s43.pt,647ae625473f8d93e42e17e91c48cf3abcd5cfab5b76d5d27b4d71a1464a9377,0.0,41.0,,,,,B1
B1_f1_diffadv_s43,diffadv,43,0.7534839116793141,0.6399951751826732,0.7692509960602613,0.6757132727948731,70,80,315.33221983909607,3068.069376,37.16545596684082,7857,0.33053329586982727,0.3880299925804138,0.6018827557563782,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_diffadv_s43.pt,49a7220140499b35dffa775b29a46c8ae73bd4206d664f34b45fe22d5ef4fd03,1.0,41.0,,,,,B1
B1_f2_diffadv_s43,diffadv,43,0.6777430854796249,0.6213504627322873,0.5948985286656521,0.23543456656380535,80,80,317.89141058921814,3068.295168,40.4504851799345,7489,0.4891173839569092,0.3537546992301941,0.6980663537979126,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_diffadv_s43.pt,e8a2d7097e58d568cb615caebb52a470f92e31de5c0fb21f237f560c64f4f4e1,2.0,41.0,,,,,B1
B1_f0_diffadv_s44,diffadv,44,0.7649703305712494,0.6684305028724186,0.6791855135847586,0.5506543084495754,55,75,279.8940796852112,3068.295168,40.53464412188344,7196,0.4031406342983246,0.4925175905227661,0.6990057826042175,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_diffadv_s44.pt,51e951eba5c718cf0bf46fc0b269036de12c4c094f5949f858257341bd144c1b,0.0,41.0,,,,,B1
B1_f1_diffadv_s44,diffadv,44,0.7224199537049916,0.5679400966192784,0.7675305964123431,0.6639201502389285,15,35,143.0104374885559,3068.069376,37.16545596684082,7857,0.33053329586982727,0.6285443902015686,0.6977350115776062,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_diffadv_s44.pt,1c9ab530c54d105ca65f062e965b003824c6cdda35192a202379b00a51b9aeae,1.0,41.0,,,,,B1
B1_f2_diffadv_s44,diffadv,44,0.715716881163823,0.6648216843620913,0.526005834601725,0.22130229350708824,40,60,246.38869071006775,3068.295168,40.4504851799345,7489,0.4891173839569092,0.5506511330604553,0.6828679442405701,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_diffadv_s44.pt,1e85ecfe6a214e45794ff96218e680a4db0f565df90ee65396fa0b76ef8100ef,2.0,41.0,,,,,B1
B1_f0_full_s42,full,42,0.7013872218603918,0.5952659762192738,0.6594836194070833,0.4825432450157783,70,80,317.7688698768616,3315.511296,40.53464412188344,7196,0.4031406342983246,0.47983819246292114,0.6932420134544373,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_full_s42.pt,8a69eaa935160daa17aba9eeadb8c8739b7a2e65881ad9174fa76b89de551eeb,0.0,41.0,,,,,B1
B1_f1_full_s42,full,42,0.7237345738209194,0.5670811054920237,0.7494055303542171,0.6522519821735511,35,55,212.9419355392456,3315.285504,37.16545596684082,7857,0.33053329586982727,0.5856037735939026,0.6971450448036194,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_full_s42.pt,cc9aa0447294ccf459e7101948b5c94e6c5b7310cab7145cd8868a4734f562e5,1.0,41.0,,,,,B1
B1_f2_full_s42,full,42,0.7132347977878557,0.6784164350644961,0.4746689497716895,0.1867664706115747,50,70,277.796443939209,3315.511296,40.4504851799345,7489,0.4891173839569092,0.5465943813323975,0.6724146604537964,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_full_s42.pt,e76a6056b5d460f19d0c085fa20080de993009cee04af24a4e00fbcb38c2923e,2.0,41.0,,,,,B1
B1_f0_full_s43,full,43,0.7372034210835732,0.6713525630327223,0.6977790592017893,0.5945622456857489,50,70,277.9146122932434,3315.511296,40.53464412188344,7196,0.4031406342983246,0.5016539692878723,0.6771727800369263,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_full_s43.pt,39a7cce130193a8950b4d9b5d17520412fa0fbb1e2eb862a8308ec513afeee0a,0.0,41.0,,,,,B1
B1_f1_full_s43,full,43,0.7202455743758154,0.559584298812299,0.7551418361570195,0.6598335878588897,10,30,117.9186441898346,3315.285504,37.16545596684082,7857,0.33053329586982727,0.6496729850769043,0.6942871809005737,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_full_s43.pt,16eeb80e629e28c75d1820f2fa05aaa95d7a8fdabe8de1e5d956068499680bf8,1.0,41.0,,,,,B1
B1_f2_full_s43,full,43,0.6908492392026109,0.6386103686532189,0.4938489345509894,0.1771020108637299,20,40,161.21044325828552,3315.511296,40.4504851799345,7489,0.4891173839569092,0.6051098108291626,0.6765758991241455,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_full_s43.pt,0229b6dc7e5c66a43e3e7e447c5cd3662e65876c6e42c812034642b1ceeab9ca,2.0,41.0,,,,,B1
B1_f0_full_s44,full,44,0.7295571877386425,0.6319250785779005,0.6918266782494085,0.5390886190226459,35,55,218.3038625717163,3315.511296,40.53464412188344,7196,0.4031406342983246,0.545648455619812,0.688713014125824,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f0_full_s44.pt,fb81618af577f2ed39e7263a78fb49a640cdb0d0db9a67343b88b3e945062234,0.0,41.0,,,,,B1
B1_f1_full_s44,full,44,0.7367348402880773,0.5929225432914426,0.785071355613304,0.7172345254733445,40,60,229.96878623962402,3315.285504,37.16545596684082,7857,0.33053329586982727,0.5474231243133545,0.6937094926834106,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f1_full_s44.pt,cf582b75b79cd9dd153e72edaff63ad8a6d9ae3c9db3c3c7bec97f611bc7b047,1.0,41.0,,,,,B1
B1_f2_full_s44,full,44,0.7132851023337171,0.63734561375921,0.5114732369355657,0.2062091924986712,45,65,250.52952408790588,3315.511296,40.4504851799345,7489,0.4891173839569092,0.5383641719818115,0.6563189625740051,D:\FOREST FIRE MAPPING(INDIA)\results\cdr_pino\unified\ckpt_B1_f2_full_s44.pt,5419a997ab3feb332b307cfce564e6eb86f78f29eebd21f3937929710d76af0c,2.0,41.0,,,,,B1
