track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p,blockboot_diff,blockboot_ci95,blockboot_p_two_sided,blockboot_n_blocks,blockboot_n_boot
A,A_full_s42,RF_cdr7,0.9398620090009757,0.9799910224475158,-0.040129013446540074,0.003148710327582788,"[-0.04630048568860234, -0.03395754120447781]",-12.74458723465567,3.3415469027129485e-37,,,,,
A,A_nophys_s42,RF_cdr7,0.9447639222736994,0.9799910224475158,-0.03522710017381636,0.0029693034238559525,"[-0.041046934884574025, -0.029407265463058694]",-11.863758984950845,1.8258978429048163e-32,,,,,
A,A_full_s43,RF_cdr7,0.9394822904349287,0.9799910224475158,-0.04050873201258709,0.0031789027823361142,"[-0.046739381465965874, -0.034278082559208306]",-12.742991776180713,3.4106051193169066e-37,,,,,
A,A_nophys_s43,RF_cdr7,0.94687827117297,0.9799910224475158,-0.033112751274545826,0.0028811347287440235,"[-0.03875977534288411, -0.02746572720620754]",-11.492954822345537,1.4313090401591e-30,,,,,
A,A_full_s44,RF_cdr7,0.9369366313218447,0.9799910224475158,-0.04305439112567111,0.0031313095691512696,"[-0.049191757881207596, -0.036917024370134624]",-13.749643775189194,5.1180904752939245e-43,,,,,
A,A_nophys_s44,RF_cdr7,0.9433378322057883,0.9799910224475158,-0.03665319024172753,0.003055632552284087,"[-0.04264223004420434, -0.03066415043925072]",-11.995287265260101,3.761100073821298e-33,,,,,
A,A_full_s42,MaxEnt_cdr7,0.9398620090009757,0.9584415647353015,-0.018579555734325792,0.0034579380741243337,"[-0.025357114359609488, -0.011801997109042098]",-5.373015749864393,7.743056271526671e-08,,,,,
A,A_nophys_s42,MaxEnt_cdr7,0.9447639222736994,0.9584415647353015,-0.01367764246160208,0.003239880209591485,"[-0.02002780767240139, -0.00732747725080277]",-4.221650671253271,2.4251975999623987e-05,,,,,
A,A_full_s43,MaxEnt_cdr7,0.9394822904349287,0.9584415647353015,-0.018959274300372808,0.0034719156128945106,"[-0.02576422890164605, -0.012154319699099567]",-5.460753202053376,4.74118761539686e-08,,,,,
A,A_nophys_s43,MaxEnt_cdr7,0.94687827117297,0.9584415647353015,-0.011563293562331545,0.0031132162876644706,"[-0.017665197486153906, -0.005461389638509183]",-3.7142596253748588,0.00020379948143617722,,,,,
A,A_full_s44,MaxEnt_cdr7,0.9369366313218447,0.9584415647353015,-0.021504933413456828,0.0034735667851046683,"[-0.02831312431226198, -0.014696742514651678]",-6.191023447619944,5.977481562659395e-10,,,,,
A,A_nophys_s44,MaxEnt_cdr7,0.9433378322057883,0.9584415647353015,-0.015103732529513247,0.003313263603697873,"[-0.021597729192761077, -0.008609735866265417]",-4.558566518117137,5.150395249680917e-06,,,,,
A,A_full_s42,LogReg_cdr7,0.9398620090009757,0.9237086741814798,0.01615333481949588,0.004340412865764576,"[0.007646125602597311, 0.02466054403639445]",3.7216125099312243,0.00019795462984462448,,,,,
A,A_nophys_s42,LogReg_cdr7,0.9447639222736994,0.9237086741814798,0.02105524809221959,0.004307608335836113,"[0.012612335753980809, 0.029498160430458373]",4.887920732499171,1.0190654334448697e-06,,,,,
A,A_full_s43,LogReg_cdr7,0.9394822904349287,0.9237086741814798,0.015773616253448863,0.004343993619438213,"[0.007259388759349965, 0.024287843747547763]",3.6311324636542133,0.00028218029796489515,,,,,
A,A_nophys_s43,LogReg_cdr7,0.94687827117297,0.9237086741814798,0.023169596991490127,0.00423138894654205,"[0.01487607465626771, 0.031463119326712544]",5.475648134503127,4.359131186511906e-08,,,,,
A,A_full_s44,LogReg_cdr7,0.9369366313218447,0.9237086741814798,0.013227957140364843,0.0042924344140551195,"[0.004814785688816809, 0.021641128591912875]",3.081691148745641,0.002058282767701256,,,,,
A,A_nophys_s44,LogReg_cdr7,0.9433378322057883,0.9237086741814798,0.019629158024308424,0.004297810227292533,"[0.01120544997881506, 0.02805286606980179]",4.567246338532284,4.941731370352316e-06,,,,,
A,A_full_s42,RF_v2agg,0.9398620090009757,0.9808429408895006,-0.04098093188852492,0.003214898780186187,"[-0.047282133497689845, -0.03467973027935999]",-12.74719196171755,3.2317777223408855e-37,,,,,
A,A_nophys_s42,RF_v2agg,0.9447639222736994,0.9808429408895006,-0.036079018615801206,0.0030141440108372047,"[-0.04198674087704213, -0.030171296354560284]",-11.969905381455197,5.108685125935839e-33,,,,,
A,A_full_s43,RF_v2agg,0.9394822904349287,0.9808429408895006,-0.041360650454571934,0.0032314306283120343,"[-0.04769425448606352, -0.03502704642308035]",-12.799485804272713,1.650404014060419e-37,,,,,
A,A_nophys_s43,RF_v2agg,0.94687827117297,0.9808429408895006,-0.03396466971653067,0.0029589948316195245,"[-0.03976429958650494, -0.028165039846556404]",-11.478448476350005,1.6929109998961324e-30,,,,,
A,A_full_s44,RF_v2agg,0.9369366313218447,0.9808429408895006,-0.043906309567655954,0.003202331239554606,"[-0.05018287879718298, -0.03762974033812893]",-13.710733301206728,8.756832030647536e-43,,,,,
A,A_nophys_s44,RF_v2agg,0.9433378322057883,0.9808429408895006,-0.037505108683712374,0.0030828252647405597,"[-0.04354744620260387, -0.03146277116482088]",-12.165823704856875,4.726533141910454e-34,,,,,
A,A_full_s42,MaxEnt_v2agg,0.9398620090009757,0.9662690576114137,-0.026407048610437966,0.0033184490080803903,"[-0.03291120866627553, -0.0199028885546004]",-7.957647848780279,1.7534054400389625e-15,,,,,
A,A_nophys_s42,MaxEnt_v2agg,0.9447639222736994,0.9662690576114137,-0.021505135337714254,0.0031692729285783,"[-0.02771691027772772, -0.015293360397700786]",-6.785510690416055,1.1567658458608128e-11,,,,,
A,A_full_s43,MaxEnt_v2agg,0.9394822904349287,0.9662690576114137,-0.026786767176484982,0.0033395541815394534,"[-0.03333229337230231, -0.020241240980667652]",-8.021060812415666,1.0483580707614972e-15,,,,,
A,A_nophys_s43,MaxEnt_v2agg,0.94687827117297,0.9662690576114137,-0.01939078643844372,0.0031011765918530707,"[-0.025469092558475737, -0.013312480318411701]",-6.252719206440608,4.033669907754564e-10,,,,,
A,A_full_s44,MaxEnt_v2agg,0.9369366313218447,0.9662690576114137,-0.029332426289569002,0.003326930453106311,"[-0.03585320997765737, -0.022811642601480633]",-8.816663498986493,1.1792095836721493e-18,,,,,
A,A_nophys_s44,MaxEnt_v2agg,0.9433378322057883,0.9662690576114137,-0.02293122540562542,0.0032365055111089136,"[-0.029274776207398892, -0.01658767460385195]",-7.085180398091944,1.388632907187217e-12,,,,,
A,A_full_s42,LogReg_v2agg,0.9398620090009757,0.956080868241999,-0.016218859241023287,0.0034837828857318303,"[-0.023047073697057673, -0.0093906447849889]",-4.655531005519659,3.231467696739067e-06,,,,,
A,A_nophys_s42,LogReg_v2agg,0.9447639222736994,0.956080868241999,-0.011316945968299574,0.0032808562011245198,"[-0.017747424122503633, -0.004886467814095516]",-3.449387987324976,0.0005618587788226434,,,,,
A,A_full_s43,LogReg_v2agg,0.9394822904349287,0.956080868241999,-0.016598577807070303,0.003503498438508898,"[-0.02346543474654774, -0.009731720867592863]",-4.737715200505333,2.1614127931984767e-06,,,,,
A,A_nophys_s43,LogReg_v2agg,0.94687827117297,0.956080868241999,-0.00920259706902904,0.003194384552436629,"[-0.015463590791804833, -0.002941603346253246]",-2.880867008328548,0.0039658293846454975,,,,,
A,A_full_s44,LogReg_v2agg,0.9369366313218447,0.956080868241999,-0.019144236920154323,0.0034710949374813335,"[-0.025947582997617735, -0.01234089084269091]",-5.515330829310478,3.481244693282902e-08,,,,,
