tag,track,config,seed,forest_auc,forest_ap,forest_n,forest_prev,all_auc
A_nophys_s42,A,nophys,42,0.9078016667102066,0.9490056826154906,2905,0.6523235800344234,0.9447639222736994
A_nophys_s43,A,nophys,43,0.9128028422895059,0.9524238469465385,2905,0.6523235800344234,0.9468782711729699
A_nophys_s44,A,nophys,44,0.907920008359675,0.9503837774980314,2905,0.6523235800344234,0.9433378322057883
A_diff_s42,A,diff,42,0.8870362339664045,0.937253528443133,2905,0.6523235800344234,0.9263695310834125
A_diff_s43,A,diff,43,0.8933088638679172,0.9410661923648037,2905,0.6523235800344234,0.9273204933736534
A_diff_s44,A,diff,44,0.8832874422006844,0.935708836384578,2905,0.6523235800344234,0.9189819302020535
A_diffadv_s42,A,diffadv,42,0.8983552339402807,0.9422765324850247,2905,0.6523235800344234,0.9387997864449055
A_diffadv_s43,A,diffadv,43,0.9014214059928419,0.9452630679873106,2905,0.6523235800344234,0.9409247363676895
A_diffadv_s44,A,diffadv,44,0.8976300321325008,0.9433372102683906,2905,0.6523235800344234,0.9386237084924495
A_full_s42,A,full,42,0.9018002037670786,0.9449691585343238,2905,0.6523235800344234,0.9398620090009758
A_full_s43,A,full,43,0.8981781133258444,0.9413035098422335,2905,0.6523235800344234,0.9394822904349286
A_full_s44,A,full,44,0.8923812011808041,0.9400128647814234,2905,0.6523235800344234,0.9369366313218446
B1_f0_nophys_s42,B1,nophys,42,0.7210216491162311,0.8421201452187448,4310,0.671461716937355,0.7258430816879411
B1_f1_nophys_s42,B1,nophys,42,0.6947323468451992,0.7092636965849081,4921,0.5267222109327373,0.7186188802230125
B1_f2_nophys_s42,B1,nophys,42,0.6883353704548842,0.829833357014099,5110,0.7158512720156556,0.7373280351586677
B1_f0_nophys_s43,B1,nophys,43,0.7195761540533893,0.8412821743894566,4310,0.671461716937355,0.7242279668325201
B1_f1_nophys_s43,B1,nophys,43,0.708256967966965,0.7121600590299042,4921,0.5267222109327373,0.7296638341110172
